"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","サ変・－スル","縛する","バクスル,バクス,バクシ,バクシヨ,バクショ,バクセ,バクスレ,バクセヨ,バクシロ,バクスリャ","縛する","縛し","縛しょ","","","縛すれ","","縛すりゃ","","","","縛せよ","縛しろ","縛す","縛せ","","","",""
"自立","*","*","五段・ラ行","駈る","カル,カラ,カン,カロ,カリ,カッ,カレ,カレ,カリャ,カン,カ","駈る","駈ら","駈ろ","駈り","駈っ","駈れ","駈れ","駈りゃ","駈ん","駈ん","駈","","","","","","","",""
"自立","*","*","一段","ほりさげる","ホリサゲル,ホリサゲ,ホリサゲヨ,ホリサゲ,ホリサゲレ,ホリサゲヨ,ホリサゲロ,ホリサゲリャ,ホリサゲン","ほりさげる","ほりさげ","ほりさげよ","ほりさげ","","ほりさげれ","","ほりさげりゃ","","ほりさげん","","ほりさげよ","ほりさげろ","","","","","",""
"自立","*","*","一段","もたせかける","モタセカケル,モタセカケ,モタセカケヨ,モタセカケ,モタセカケレ,モタセカケヨ,モタセカケロ,モタセカケリャ,モタセカケン","もたせかける","もたせかけ","もたせかけよ","もたせかけ","","もたせかけれ","","もたせかけりゃ","","もたせかけん","","もたせかけよ","もたせかけろ","","","","","",""
"自立","*","*","一段","わらえる","ワラエル,ワラエ,ワラエヨ,ワラエ,ワラエレ,ワラエヨ,ワラエロ,ワラエリャ,ワラエン","わらえる","わらえ","わらえよ","わらえ","","わらえれ","","わらえりゃ","","わらえん","","わらえよ","わらえろ","","","","","",""
"自立","*","*","五段・ラ行","こじる","コジル,コジラ,コジン,コジロ,コジリ,コジッ,コジレ,コジレ,コジリャ,コジン,コジ","こじる","こじら","こじろ","こじり","こじっ","こじれ","こじれ","こじりゃ","こじん","こじん","こじ","","","","","","","",""
"自立","*","*","五段・サ行","泣腫らす","ナキハラス,ナキハラサ,ナキハラソ,ナキハラシ,ナキハラセ,ナキハラセ,ナキハラシャ","泣腫らす","泣腫らさ","泣腫らそ","泣腫らし","","泣腫らせ","泣腫らせ","泣腫らしゃ","","","","","","","","","","",""
"自立","*","*","一段","据付ける","スエツケル,スエツケ,スエツケヨ,スエツケ,スエツケレ,スエツケヨ,スエツケロ,スエツケリャ,スエツケン","据付ける","据付け","据付けよ","据付け","","据付けれ","","据付けりゃ","","据付けん","","据付けよ","据付けろ","","","","","",""
"自立","*","*","五段・サ行","吐出す","ハキダス,ハキダサ,ハキダソ,ハキダシ,ハキダセ,ハキダセ,ハキダシャ","吐出す","吐出さ","吐出そ","吐出し","","吐出せ","吐出せ","吐出しゃ","","","","","","","","","","",""
"自立","*","*","一段","焦げる","コゲル,コゲ,コゲヨ,コゲ,コゲレ,コゲヨ,コゲロ,コゲリャ,コゲン","焦げる","焦げ","焦げよ","焦げ","","焦げれ","","焦げりゃ","","焦げん","","焦げよ","焦げろ","","","","","",""
