"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","未然形","未然ウ接続","連用形","連用タ接続","仮定形","命令ｅ","仮定縮約１","未然特殊","体言接続特殊","体言接続特殊２","命令ｙｏ","命令ｒｏ","文語基本形","未然レル接続","命令ｉ","体言接続","未然ヌ接続","現代基本形"
"自立","*","*","五段・マ行","引き込む","ヒキコム,ヒキコマ,ヒキコモ,ヒキコミ,ヒキコン,ヒキコメ,ヒキコメ,ヒキコミャ","引き込む","引き込ま","引き込も","引き込み","引き込ん","引き込め","引き込め","引き込みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","すきかえす","スキカエス,スキカエサ,スキカエソ,スキカエシ,スキカエセ,スキカエセ,スキカエシャ","すきかえす","すきかえさ","すきかえそ","すきかえし","","すきかえせ","すきかえせ","すきかえしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","看取る","ミトル,ミトラ,ミトン,ミトロ,ミトリ,ミトッ,ミトレ,ミトレ,ミトリャ,ミトン,ミト","看取る","看取ら","看取ろ","看取り","看取っ","看取れ","看取れ","看取りゃ","看取ん","看取ん","看取","","","","","","","",""
"自立","*","*","五段・マ行","睦む","ムツム,ムツマ,ムツモ,ムツミ,ムツン,ムツメ,ムツメ,ムツミャ","睦む","睦ま","睦も","睦み","睦ん","睦め","睦め","睦みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","きこす","キコス,キコサ,キコソ,キコシ,キコセ,キコセ,キコシャ","きこす","きこさ","きこそ","きこし","","きこせ","きこせ","きこしゃ","","","","","","","","","","",""
"自立","*","*","一段","つける","ツケル,ツケ,ツケヨ,ツケ,ツケレ,ツケヨ,ツケロ,ツケリャ,ツケン","つける","つけ","つけよ","つけ","","つけれ","","つけりゃ","","つけん","","つけよ","つけろ","","","","","",""
"非自立","*","*","一段","つける","ツケル,ツケ,ツケヨ,ツケ,ツケレ,ツケヨ,ツケロ,ツケリャ,ツケン","つける","つけ","つけよ","つけ","","つけれ","","つけりゃ","","つけん","","つけよ","つけろ","","","","","",""
"自立","*","*","五段・ラ行","封切る","フウギル,フウギラ,フウギン,フウギロ,フウギリ,フウギッ,フウギレ,フウギレ,フウギリャ,フウギン,フウギ,フウキル,フウキラ,フウキン,フウキロ,フウキリ,フウキッ,フウキレ,フウキレ,フウキリャ,フウキン,フウキ","封切る","封切ら","封切ろ","封切り","封切っ","封切れ","封切れ","封切りゃ","封切ん","封切ん","封切","","","","","","","",""
"自立","*","*","五段・ワ行促音便","逃げまどう","ニゲマドウ,ニゲマドワ,ニゲマドオ,ニゲマドイ,ニゲマドッ,ニゲマドエ,ニゲマドエ","逃げまどう","逃げまどわ","逃げまどお","逃げまどい","逃げまどっ","逃げまどえ","逃げまどえ","","","","","","","","","","","",""
"自立","*","*","五段・サ行","さしだす","サシダス,サシダサ,サシダソ,サシダシ,サシダセ,サシダセ,サシダシャ","さしだす","さしださ","さしだそ","さしだし","","さしだせ","さしだせ","さしだしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","わりきる","ワリキル,ワリキラ,ワリキン,ワリキロ,ワリキリ,ワリキッ,ワリキレ,ワリキレ,ワリキリャ,ワリキン,ワリキ","わりきる","わりきら","わりきろ","わりきり","わりきっ","わりきれ","わりきれ","わりきりゃ","わりきん","わりきん","わりき","","","","","","","",""
"自立","*","*","一段","飛び抜ける","トビヌケル,トビヌケ,トビヌケヨ,トビヌケ,トビヌケレ,トビヌケヨ,トビヌケロ,トビヌケリャ,トビヌケン","飛び抜ける","飛び抜け","飛び抜けよ","飛び抜け","","飛び抜けれ","","飛び抜けりゃ","","飛び抜けん","","飛び抜けよ","飛び抜けろ","","","","","",""
"自立","*","*","一段","書き直せる","カキナオセル,カキナオセ,カキナオセヨ,カキナオセ,カキナオセレ,カキナオセヨ,カキナオセロ,カキナオセリャ,カキナオセン","書き直せる","書き直せ","書き直せよ","書き直せ","","書き直せれ","","書き直せりゃ","","書き直せん","","書き直せよ","書き直せろ","","","","","",""
"自立","*","*","五段・ワ行促音便","ひしめきあう","ヒシメキアウ,ヒシメキアワ,ヒシメキアオ,ヒシメキアイ,ヒシメキアッ,ヒシメキアエ,ヒシメキアエ","ひしめきあう","ひしめきあわ","ひしめきあお","ひしめきあい","ひしめきあっ","ひしめきあえ","ひしめきあえ","","","","","","","","","","","",""
"自立","*","*","五段・マ行","乗り組む","ノリクム,ノリクマ,ノリクモ,ノリクミ,ノリクン,ノリクメ,ノリクメ,ノリクミャ","乗り組む","乗り組ま","乗り組も","乗り組み","乗り組ん","乗り組め","乗り組め","乗り組みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","引き戻す","ヒキモドス,ヒキモドサ,ヒキモドソ,ヒキモドシ,ヒキモドセ,ヒキモドセ,ヒキモドシャ","引き戻す","引き戻さ","引き戻そ","引き戻し","","引き戻せ","引き戻せ","引き戻しゃ","","","","","","","","","","",""
"自立","*","*","一段","持てる","モテル,モテ,モテヨ,モテ,モテレ,モテヨ,モテロ,モテリャ,モテン","持てる","持て","持てよ","持て","","持てれ","","持てりゃ","","持てん","","持てよ","持てろ","","","","","",""
"自立","*","*","五段・ワ行促音便","立あう","タチアウ,タチアワ,タチアオ,タチアイ,タチアッ,タチアエ,タチアエ","立あう","立あわ","立あお","立あい","立あっ","立あえ","立あえ","","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","基づく","モトヅク,モトヅカ,モトヅコ,モトヅキ,モトヅイ,モトヅケ,モトヅケ,モトヅキャ","基づく","基づか","基づこ","基づき","基づい","基づけ","基づけ","基づきゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","弓引く","ユミヒク,ユミヒカ,ユミヒコ,ユミヒキ,ユミヒイ,ユミヒケ,ユミヒケ,ユミヒキャ","弓引く","弓引か","弓引こ","弓引き","弓引い","弓引け","弓引け","弓引きゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","ぶち壊す","ブチコワス,ブチコワサ,ブチコワソ,ブチコワシ,ブチコワセ,ブチコワセ,ブチコワシャ","ぶち壊す","ぶち壊さ","ぶち壊そ","ぶち壊し","","ぶち壊せ","ぶち壊せ","ぶち壊しゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","わきあがる","ワキアガル,ワキアガラ,ワキアガン,ワキアガロ,ワキアガリ,ワキアガッ,ワキアガレ,ワキアガレ,ワキアガリャ,ワキアガン,ワキアガ","わきあがる","わきあがら","わきあがろ","わきあがり","わきあがっ","わきあがれ","わきあがれ","わきあがりゃ","わきあがん","わきあがん","わきあが","","","","","","","",""
"自立","*","*","五段・ガ行","語りつぐ","カタリツグ,カタリツガ,カタリツゴ,カタリツギ,カタリツイ,カタリツゲ,カタリツゲ,カタリツギャ","語りつぐ","語りつが","語りつご","語りつぎ","語りつい","語りつげ","語りつげ","語りつぎゃ","","","","","","","","","","",""
"自立","*","*","一段","問掛ける","トイカケル,トイカケ,トイカケヨ,トイカケ,トイカケレ,トイカケヨ,トイカケロ,トイカケリャ,トイカケン","問掛ける","問掛け","問掛けよ","問掛け","","問掛けれ","","問掛けりゃ","","問掛けん","","問掛けよ","問掛けろ","","","","","",""
"自立","*","*","一段","狙われる","ネラワレル,ネラワレ,ネラワレヨ,ネラワレ,ネラワレレ,ネラワレヨ,ネラワレロ,ネラワレリャ,ネラワレン","狙われる","狙われ","狙われよ","狙われ","","狙われれ","","狙われりゃ","","狙われん","","狙われよ","狙われろ","","","","","",""
"自立","*","*","五段・サ行","埋めあわす","ウメアワス,ウメアワサ,ウメアワソ,ウメアワシ,ウメアワセ,ウメアワセ,ウメアワシャ","埋めあわす","埋めあわさ","埋めあわそ","埋めあわし","","埋めあわせ","埋めあわせ","埋めあわしゃ","","","","","","","","","","",""
"自立","*","*","五段・バ行","喚ぶ","ヨブ,ヨバ,ヨボ,ヨビ,ヨン,ヨベ,ヨベ,ヨビャ","喚ぶ","喚ば","喚ぼ","喚び","喚ん","喚べ","喚べ","喚びゃ","","","","","","","","","","",""
"自立","*","*","一段","しりぞける","シリゾケル,シリゾケ,シリゾケヨ,シリゾケ,シリゾケレ,シリゾケヨ,シリゾケロ,シリゾケリャ,シリゾケン","しりぞける","しりぞけ","しりぞけよ","しりぞけ","","しりぞけれ","","しりぞけりゃ","","しりぞけん","","しりぞけよ","しりぞけろ","","","","","",""
"自立","*","*","五段・サ行","こす","コス,コサ,コソ,コシ,コセ,コセ,コシャ","こす","こさ","こそ","こし","","こせ","こせ","こしゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","大人ぶる","オトナブル,オトナブラ,オトナブン,オトナブロ,オトナブリ,オトナブッ,オトナブレ,オトナブレ,オトナブリャ,オトナブン,オトナブ","大人ぶる","大人ぶら","大人ぶろ","大人ぶり","大人ぶっ","大人ぶれ","大人ぶれ","大人ぶりゃ","大人ぶん","大人ぶん","大人ぶ","","","","","","","",""
"自立","*","*","一段","居る","イル,イ,イヨ,イ,イレ,イヨ,イロ,イリャ,イン","居る","居","居よ","居","","居れ","","居りゃ","","居ん","","居よ","居ろ","","","","","",""
"自立","*","*","五段・ラ行","居る","オル,オラ,オン,オロ,オリ,オッ,オレ,オレ,オリャ,オン,オ","居る","居ら","居ろ","居り","居っ","居れ","居れ","居りゃ","居ん","居ん","居","","","","","","","",""
"自立","*","*","一段","ねじふせる","ネジフセル,ネジフセ,ネジフセヨ,ネジフセ,ネジフセレ,ネジフセヨ,ネジフセロ,ネジフセリャ,ネジフセン","ねじふせる","ねじふせ","ねじふせよ","ねじふせ","","ねじふせれ","","ねじふせりゃ","","ねじふせん","","ねじふせよ","ねじふせろ","","","","","",""
"自立","*","*","一段","しゃくりあげる","シャクリアゲル,シャクリアゲ,シャクリアゲヨ,シャクリアゲ,シャクリアゲレ,シャクリアゲヨ,シャクリアゲロ,シャクリアゲリャ,シャクリアゲン","しゃくりあげる","しゃくりあげ","しゃくりあげよ","しゃくりあげ","","しゃくりあげれ","","しゃくりあげりゃ","","しゃくりあげん","","しゃくりあげよ","しゃくりあげろ","","","","","",""
"自立","*","*","一段","にごせる","ニゴセル,ニゴセ,ニゴセヨ,ニゴセ,ニゴセレ,ニゴセヨ,ニゴセロ,ニゴセリャ,ニゴセン","にごせる","にごせ","にごせよ","にごせ","","にごせれ","","にごせりゃ","","にごせん","","にごせよ","にごせろ","","","","","",""
"自立","*","*","一段","較べる","クラベル,クラベ,クラベヨ,クラベ,クラベレ,クラベヨ,クラベロ,クラベリャ,クラベン","較べる","較べ","較べよ","較べ","","較べれ","","較べりゃ","","較べん","","較べよ","較べろ","","","","","",""
"自立","*","*","五段・サ行","罷り越す","マカリコス,マカリコサ,マカリコソ,マカリコシ,マカリコセ,マカリコセ,マカリコシャ","罷り越す","罷り越さ","罷り越そ","罷り越し","","罷り越せ","罷り越せ","罷り越しゃ","","","","","","","","","","",""
"自立","*","*","一段","射せる","サセル,サセ,サセヨ,サセ,サセレ,サセヨ,サセロ,サセリャ,サセン","射せる","射せ","射せよ","射せ","","射せれ","","射せりゃ","","射せん","","射せよ","射せろ","","","","","",""
"自立","*","*","五段・サ行","描きだす","エガキダス,エガキダサ,エガキダソ,エガキダシ,エガキダセ,エガキダセ,エガキダシャ","描きだす","描きださ","描きだそ","描きだし","","描きだせ","描きだせ","描きだしゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","けっとばす","ケットバス,ケットバサ,ケットバソ,ケットバシ,ケットバセ,ケットバセ,ケットバシャ","けっとばす","けっとばさ","けっとばそ","けっとばし","","けっとばせ","けっとばせ","けっとばしゃ","","","","","","","","","","",""
"自立","*","*","五段・タ行","満つ","ミツ,ミタ,ミト,ミチ,ミッ,ミテ,ミテ,ミチャ","満つ","満た","満と","満ち","満っ","満て","満て","満ちゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","明け放す","アケハナス,アケハナサ,アケハナソ,アケハナシ,アケハナセ,アケハナセ,アケハナシャ","明け放す","明け放さ","明け放そ","明け放し","","明け放せ","明け放せ","明け放しゃ","","","","","","","","","","",""
"自立","*","*","一段","返り咲ける","カエリザケル,カエリザケ,カエリザケヨ,カエリザケ,カエリザケレ,カエリザケヨ,カエリザケロ,カエリザケリャ,カエリザケン","返り咲ける","返り咲け","返り咲けよ","返り咲け","","返り咲けれ","","返り咲けりゃ","","返り咲けん","","返り咲けよ","返り咲けろ","","","","","",""
"自立","*","*","一段","誘い合わせる","サソイアワセル,サソイアワセ,サソイアワセヨ,サソイアワセ,サソイアワセレ,サソイアワセヨ,サソイアワセロ,サソイアワセリャ,サソイアワセン","誘い合わせる","誘い合わせ","誘い合わせよ","誘い合わせ","","誘い合わせれ","","誘い合わせりゃ","","誘い合わせん","","誘い合わせよ","誘い合わせろ","","","","","",""
"自立","*","*","一段","つきつける","ツキツケル,ツキツケ,ツキツケヨ,ツキツケ,ツキツケレ,ツキツケヨ,ツキツケロ,ツキツケリャ,ツキツケン","つきつける","つきつけ","つきつけよ","つきつけ","","つきつけれ","","つきつけりゃ","","つきつけん","","つきつけよ","つきつけろ","","","","","",""
"自立","*","*","五段・ラ行","埋る","ウマル,ウマラ,ウマン,ウマロ,ウマリ,ウマッ,ウマレ,ウマレ,ウマリャ,ウマン,ウマ","埋る","埋ら","埋ろ","埋り","埋っ","埋れ","埋れ","埋りゃ","埋ん","埋ん","埋","","","","","","","",""
"自立","*","*","五段・サ行","かき乱す","カキミダス,カキミダサ,カキミダソ,カキミダシ,カキミダセ,カキミダセ,カキミダシャ","かき乱す","かき乱さ","かき乱そ","かき乱し","","かき乱せ","かき乱せ","かき乱しゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","だまし取る","ダマシトル,ダマシトラ,ダマシトン,ダマシトロ,ダマシトリ,ダマシトッ,ダマシトレ,ダマシトレ,ダマシトリャ,ダマシトン,ダマシト","だまし取る","だまし取ら","だまし取ろ","だまし取り","だまし取っ","だまし取れ","だまし取れ","だまし取りゃ","だまし取ん","だまし取ん","だまし取","","","","","","","",""
"自立","*","*","五段・カ行イ音便","配り歩く","クバリアルク,クバリアルカ,クバリアルコ,クバリアルキ,クバリアルイ,クバリアルケ,クバリアルケ,クバリアルキャ","配り歩く","配り歩か","配り歩こ","配り歩き","配り歩い","配り歩け","配り歩け","配り歩きゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","抱き込む","ダキコム,ダキコマ,ダキコモ,ダキコミ,ダキコン,ダキコメ,ダキコメ,ダキコミャ","抱き込む","抱き込ま","抱き込も","抱き込み","抱き込ん","抱き込め","抱き込め","抱き込みゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","めしあがる","メシアガル,メシアガラ,メシアガン,メシアガロ,メシアガリ,メシアガッ,メシアガレ,メシアガレ,メシアガリャ,メシアガン,メシアガ","めしあがる","めしあがら","めしあがろ","めしあがり","めしあがっ","めしあがれ","めしあがれ","めしあがりゃ","めしあがん","めしあがん","めしあが","","","","","","","",""
"自立","*","*","サ変・－ズル","つうずる","ツウズル,ツウズ,ツウゼ,ツウゼヨ,ツウズレ,ツウゼヨ,ツウズリャ","つうずる","つうぜ","つうぜよ","","","つうずれ","","つうずりゃ","","","","つうぜよ","","つうず","","","","",""
"自立","*","*","一段","ずば抜ける","ズバヌケル,ズバヌケ,ズバヌケヨ,ズバヌケ,ズバヌケレ,ズバヌケヨ,ズバヌケロ,ズバヌケリャ,ズバヌケン","ずば抜ける","ずば抜け","ずば抜けよ","ずば抜け","","ずば抜けれ","","ずば抜けりゃ","","ずば抜けん","","ずば抜けよ","ずば抜けろ","","","","","",""
"自立","*","*","一段","泣きぬれる","ナキヌレル,ナキヌレ,ナキヌレヨ,ナキヌレ,ナキヌレレ,ナキヌレヨ,ナキヌレロ,ナキヌレリャ,ナキヌレン","泣きぬれる","泣きぬれ","泣きぬれよ","泣きぬれ","","泣きぬれれ","","泣きぬれりゃ","","泣きぬれん","","泣きぬれよ","泣きぬれろ","","","","","",""
"自立","*","*","五段・ラ行","くしけずる","クシケズル,クシケズラ,クシケズン,クシケズロ,クシケズリ,クシケズッ,クシケズレ,クシケズレ,クシケズリャ,クシケズン,クシケズ","くしけずる","くしけずら","くしけずろ","くしけずり","くしけずっ","くしけずれ","くしけずれ","くしけずりゃ","くしけずん","くしけずん","くしけず","","","","","","","",""
"自立","*","*","五段・ラ行","つみとる","ツミトル,ツミトラ,ツミトン,ツミトロ,ツミトリ,ツミトッ,ツミトレ,ツミトレ,ツミトリャ,ツミトン,ツミト","つみとる","つみとら","つみとろ","つみとり","つみとっ","つみとれ","つみとれ","つみとりゃ","つみとん","つみとん","つみと","","","","","","","",""
"自立","*","*","五段・サ行","割戻す","ワリモドス,ワリモドサ,ワリモドソ,ワリモドシ,ワリモドセ,ワリモドセ,ワリモドシャ","割戻す","割戻さ","割戻そ","割戻し","","割戻せ","割戻せ","割戻しゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","さだまる","サダマル,サダマラ,サダマン,サダマロ,サダマリ,サダマッ,サダマレ,サダマレ,サダマリャ,サダマン,サダマ","さだまる","さだまら","さだまろ","さだまり","さだまっ","さだまれ","さだまれ","さだまりゃ","さだまん","さだまん","さだま","","","","","","","",""
"自立","*","*","五段・ワ行促音便","睨み合う","ニラミアウ,ニラミアワ,ニラミアオ,ニラミアイ,ニラミアッ,ニラミアエ,ニラミアエ","睨み合う","睨み合わ","睨み合お","睨み合い","睨み合っ","睨み合え","睨み合え","","","","","","","","","","","",""
"自立","*","*","一段","かわれる","カワレル,カワレ,カワレヨ,カワレ,カワレレ,カワレヨ,カワレロ,カワレリャ,カワレン","かわれる","かわれ","かわれよ","かわれ","","かわれれ","","かわれりゃ","","かわれん","","かわれよ","かわれろ","","","","","",""
"自立","*","*","五段・マ行","そむ","ソム,ソマ,ソモ,ソミ,ソン,ソメ,ソメ,ソミャ","そむ","そま","そも","そみ","そん","そめ","そめ","そみゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","後らす","オクラス,オクラサ,オクラソ,オクラシ,オクラセ,オクラセ,オクラシャ","後らす","後らさ","後らそ","後らし","","後らせ","後らせ","後らしゃ","","","","","","","","","","",""
"自立","*","*","サ変・－スル","ごわする","ゴワスル,ゴワス,ゴワシ,ゴワシヨ,ゴワショ,ゴワセ,ゴワスレ,ゴワセヨ,ゴワシロ,ゴワスリャ","ごわする","ごわし","ごわしょ","","","ごわすれ","","ごわすりゃ","","","","ごわせよ","ごわしろ","ごわす","ごわせ","","","",""
"自立","*","*","五段・サ行","迷わす","マヨワス,マヨワサ,マヨワソ,マヨワシ,マヨワセ,マヨワセ,マヨワシャ","迷わす","迷わさ","迷わそ","迷わし","","迷わせ","迷わせ","迷わしゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","泥む","ナズム,ナズマ,ナズモ,ナズミ,ナズン,ナズメ,ナズメ,ナズミャ","泥む","泥ま","泥も","泥み","泥ん","泥め","泥め","泥みゃ","","","","","","","","","","",""
"自立","*","*","五段・サ行","仕出す","シダス,シダサ,シダソ,シダシ,シダセ,シダセ,シダシャ","仕出す","仕出さ","仕出そ","仕出し","","仕出せ","仕出せ","仕出しゃ","","","","","","","","","","",""
"自立","*","*","サ変・－スル","おくする","オクスル,オクス,オクシ,オクシヨ,オクショ,オクセ,オクスレ,オクセヨ,オクシロ,オクスリャ","おくする","おくし","おくしょ","","","おくすれ","","おくすりゃ","","","","おくせよ","おくしろ","おくす","おくせ","","","",""
"自立","*","*","一段","逆らえる","サカラエル,サカラエ,サカラエヨ,サカラエ,サカラエレ,サカラエヨ,サカラエロ,サカラエリャ,サカラエン","逆らえる","逆らえ","逆らえよ","逆らえ","","逆らえれ","","逆らえりゃ","","逆らえん","","逆らえよ","逆らえろ","","","","","",""
"自立","*","*","一段","居あわせる","イアワセル,イアワセ,イアワセヨ,イアワセ,イアワセレ,イアワセヨ,イアワセロ,イアワセリャ,イアワセン","居あわせる","居あわせ","居あわせよ","居あわせ","","居あわせれ","","居あわせりゃ","","居あわせん","","居あわせよ","居あわせろ","","","","","",""
"自立","*","*","五段・タ行","苛立つ","イラダツ,イラダタ,イラダト,イラダチ,イラダッ,イラダテ,イラダテ,イラダチャ","苛立つ","苛立た","苛立と","苛立ち","苛立っ","苛立て","苛立て","苛立ちゃ","","","","","","","","","","",""
"自立","*","*","一段","堕ちる","オチル,オチ,オチヨ,オチ,オチレ,オチヨ,オチロ,オチリャ,オチン","堕ちる","堕ち","堕ちよ","堕ち","","堕ちれ","","堕ちりゃ","","堕ちん","","堕ちよ","堕ちろ","","","","","",""
"自立","*","*","五段・ラ行","慮る","オモンバカル,オモンバカラ,オモンバカン,オモンバカロ,オモンバカリ,オモンバカッ,オモンバカレ,オモンバカレ,オモンバカリャ,オモンバカン,オモンバカ","慮る","慮ら","慮ろ","慮り","慮っ","慮れ","慮れ","慮りゃ","慮ん","慮ん","慮","","","","","","","",""
"自立","*","*","五段・タ行","怖じ気立つ","オジケダツ,オジケダタ,オジケダト,オジケダチ,オジケダッ,オジケダテ,オジケダテ,オジケダチャ","怖じ気立つ","怖じ気立た","怖じ気立と","怖じ気立ち","怖じ気立っ","怖じ気立て","怖じ気立て","怖じ気立ちゃ","","","","","","","","","","",""
"自立","*","*","五段・カ行イ音便","きずく","キズク,キズカ,キズコ,キズキ,キズイ,キズケ,キズケ,キズキャ","きずく","きずか","きずこ","きずき","きずい","きずけ","きずけ","きずきゃ","","","","","","","","","","",""
"自立","*","*","一段","とりあつかえる","トリアツカエル,トリアツカエ,トリアツカエヨ,トリアツカエ,トリアツカエレ,トリアツカエヨ,トリアツカエロ,トリアツカエリャ,トリアツカエン","とりあつかえる","とりあつかえ","とりあつかえよ","とりあつかえ","","とりあつかえれ","","とりあつかえりゃ","","とりあつかえん","","とりあつかえよ","とりあつかえろ","","","","","",""
"自立","*","*","一段","扱き雑ぜる","コキマゼル,コキマゼ,コキマゼヨ,コキマゼ,コキマゼレ,コキマゼヨ,コキマゼロ,コキマゼリャ,コキマゼン","扱き雑ぜる","扱き雑ぜ","扱き雑ぜよ","扱き雑ぜ","","扱き雑ぜれ","","扱き雑ぜりゃ","","扱き雑ぜん","","扱き雑ぜよ","扱き雑ぜろ","","","","","",""
"自立","*","*","一段","はじける","ハジケル,ハジケ,ハジケヨ,ハジケ,ハジケレ,ハジケヨ,ハジケロ,ハジケリャ,ハジケン","はじける","はじけ","はじけよ","はじけ","","はじけれ","","はじけりゃ","","はじけん","","はじけよ","はじけろ","","","","","",""
"自立","*","*","五段・マ行","ふしおがむ","フシオガム,フシオガマ,フシオガモ,フシオガミ,フシオガン,フシオガメ,フシオガメ,フシオガミャ","ふしおがむ","ふしおがま","ふしおがも","ふしおがみ","ふしおがん","ふしおがめ","ふしおがめ","ふしおがみゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","黙る","ダマル,ダマラ,ダマン,ダマロ,ダマリ,ダマッ,ダマレ,ダマレ,ダマリャ,ダマン,ダマ","黙る","黙ら","黙ろ","黙り","黙っ","黙れ","黙れ","黙りゃ","黙ん","黙ん","黙","","","","","","","",""
"自立","*","*","五段・サ行","のめす","ノメス,ノメサ,ノメソ,ノメシ,ノメセ,ノメセ,ノメシャ","のめす","のめさ","のめそ","のめし","","のめせ","のめせ","のめしゃ","","","","","","","","","","",""
"自立","*","*","五段・マ行","危ぶむ","アヤブム,アヤブマ,アヤブモ,アヤブミ,アヤブン,アヤブメ,アヤブメ,アヤブミャ","危ぶむ","危ぶま","危ぶも","危ぶみ","危ぶん","危ぶめ","危ぶめ","危ぶみゃ","","","","","","","","","","",""
"自立","*","*","五段・ラ行","いりびたる","イリビタル,イリビタラ,イリビタン,イリビタロ,イリビタリ,イリビタッ,イリビタレ,イリビタレ,イリビタリャ,イリビタン,イリビタ","いりびたる","いりびたら","いりびたろ","いりびたり","いりびたっ","いりびたれ","いりびたれ","いりびたりゃ","いりびたん","いりびたん","いりびた","","","","","","","",""
"自立","*","*","五段・サ行","洗い流す","アライナガス,アライナガサ,アライナガソ,アライナガシ,アライナガセ,アライナガセ,アライナガシャ","洗い流す","洗い流さ","洗い流そ","洗い流し","","洗い流せ","洗い流せ","洗い流しゃ","","","","","","","","","","",""
"自立","*","*","一段・クレル","呉れる","クレル,クレ,クン,クレヨ,クレ,クレレ,クレ,クレヨ,クレロ,クレリャ","呉れる","呉れ","呉れよ","呉れ","","呉れれ","呉れ","呉れりゃ","呉ん","","","呉れよ","呉れろ","","","","","",""
"自立","*","*","五段・ラ行","定まる","サダマル,サダマラ,サダマン,サダマロ,サダマリ,サダマッ,サダマレ,サダマレ,サダマリャ,サダマン,サダマ","定まる","定まら","定まろ","定まり","定まっ","定まれ","定まれ","定まりゃ","定まん","定まん","定ま","","","","","","","",""
"自立","*","*","一段","ばかせる","バカセル,バカセ,バカセヨ,バカセ,バカセレ,バカセヨ,バカセロ,バカセリャ,バカセン","ばかせる","ばかせ","ばかせよ","ばかせ","","ばかせれ","","ばかせりゃ","","ばかせん","","ばかせよ","ばかせろ","","","","","",""
"自立","*","*","五段・ワ行促音便","語りあう","カタリアウ,カタリアワ,カタリアオ,カタリアイ,カタリアッ,カタリアエ,カタリアエ","語りあう","語りあわ","語りあお","語りあい","語りあっ","語りあえ","語りあえ","","","","","","","","","","","",""
"自立","*","*","一段","敬える","ウヤマエル,ウヤマエ,ウヤマエヨ,ウヤマエ,ウヤマエレ,ウヤマエヨ,ウヤマエロ,ウヤマエリャ,ウヤマエン","敬える","敬え","敬えよ","敬え","","敬えれ","","敬えりゃ","","敬えん","","敬えよ","敬えろ","","","","","",""
"自立","*","*","一段","食らわせる","クラワセル,クラワセ,クラワセヨ,クラワセ,クラワセレ,クラワセヨ,クラワセロ,クラワセリャ,クラワセン","食らわせる","食らわせ","食らわせよ","食らわせ","","食らわせれ","","食らわせりゃ","","食らわせん","","食らわせよ","食らわせろ","","","","","",""
"自立","*","*","五段・ラ行","わたる","ワタル,ワタラ,ワタン,ワタロ,ワタリ,ワタッ,ワタレ,ワタレ,ワタリャ,ワタン,ワタ","わたる","わたら","わたろ","わたり","わたっ","わたれ","わたれ","わたりゃ","わたん","わたん","わた","","","","","","","",""
"自立","*","*","五段・サ行","いいまわす","イイマワス,イイマワサ,イイマワソ,イイマワシ,イイマワセ,イイマワセ,イイマワシャ","いいまわす","いいまわさ","いいまわそ","いいまわし","","いいまわせ","いいまわせ","いいまわしゃ","","","","","","","","","","",""
"自立","*","*","一段","打ち抜ける","ウチヌケル,ウチヌケ,ウチヌケヨ,ウチヌケ,ウチヌケレ,ウチヌケヨ,ウチヌケロ,ウチヌケリャ,ウチヌケン","打ち抜ける","打ち抜け","打ち抜けよ","打ち抜け","","打ち抜けれ","","打ち抜けりゃ","","打ち抜けん","","打ち抜けよ","打ち抜けろ","","","","","",""
"自立","*","*","五段・ラ行","ヒネる","ヒネル,ヒネラ,ヒネン,ヒネロ,ヒネリ,ヒネッ,ヒネレ,ヒネレ,ヒネリャ,ヒネン,ヒネ","ヒネる","ヒネら","ヒネろ","ヒネり","ヒネっ","ヒネれ","ヒネれ","ヒネりゃ","ヒネん","ヒネん","ヒネ","","","","","","","",""
"自立","*","*","一段","転げでる","コロゲデル,コロゲデ,コロゲデヨ,コロゲデ,コロゲデレ,コロゲデヨ,コロゲデロ,コロゲデリャ,コロゲデン","転げでる","転げで","転げでよ","転げで","","転げでれ","","転げでりゃ","","転げでん","","転げでよ","転げでろ","","","","","",""
"自立","*","*","五段・サ行","打ちのめす","ウチノメス,ウチノメサ,ウチノメソ,ウチノメシ,ウチノメセ,ウチノメセ,ウチノメシャ","打ちのめす","打ちのめさ","打ちのめそ","打ちのめし","","打ちのめせ","打ちのめせ","打ちのめしゃ","","","","","","","","","","",""
